key,version,english,notes,tag,link
Jehoash,4.1,Jehoash,,A6-A,
Amaziah,4.1,Amaziah,,A6-A,
Uzziah,4.1,Uzziah (Azariah),also Azariah,A6-A,
Jeroboam,4.1,Jeroboam,first king of northern 10-tribe kingdom,A6-A,
Nadab,4.1,Nadab,less than 2,A6-A,
Baasha,4.1,Baasha,,A6-A,
Elah,4.1,Elah,,A6-A,
Zimri,4.1,Zimri,Only 7 days in ca. 751 BCE,A6-A,
OmriTibni,4.1,Omri and Tibni together,4 years Omri and Tibni,A6-A,
Omri,4.1,Omri (alone),from 947 Omri alone,A6-A,
Ahab,4.1,Ahab,,A6-A,
Jehoram,4.1,Jehoram,,A6-A,
Jehu,4.1,Jehu,,A6-A,
Jeoahaz,4.1,Jeoahaz,,A6-A,
JeoahazJehoash,4.1,Jeoahaz and Jehoash,For 3 years Jeoahaz and Jeoash reigned together,A6-A,
Jehoash2,4.1,Jehoash (alone),Jehoash (alone),A6-A,
Jeroboam2,4.1,Jeroboam II,,A6-A,
Elijah,4.1,Elijah,,A6-A,
Elisha,4.1,Elisha,,A6-A,
Jonah,4.1,Jonah,,A6-A,
Amos,4.1,Amos,,A6-A,
Joel,4.1,Joel,,A6-A,
Jotham,4.1,Jotham,A6-B,A6-B,
Ahaz,4.1,Ahaz,,A6-B,
Hezekiah,4.1,Hezekiah,,A6-B,
Manasseh,4.1,Manasseh,,A6-B,
Amon,4.1,Amon,,A6-B,
Josiah,4.1,Josiah,,A6-B,
Jehoahaz,4.1,Jehoahaz,Only 3 months,A6-B,
Jehoiakim,4.1,Jehoiakim,,A6-B,
Jehoiachin,4.1,Jehoiachin,Only 3 months 10 days,A6-B,
Zedekiah,4.1,Zedekiah,,A6-B,
Zechariah,4.1,Zechariah,"reign only recorded 6 months, probably only established 792 BCE",A6-B,
Schallum,4.1,Schallum,only one month,A6-B,
Menahem,4.1,Menahem,,A6-B,
Pekahiah,4.1,Pekahiah,,A6-B,
Pekah,4.1,Pekah,,A6-B,
Hoshea,4.1,Hoshea,9 years from c. 748,A6-B,
Hosea,4.1,Hosea,,A6-B,
Isaiah,4.1,Isaiah,,A6-B,
Micah,4.1,Micah,,A6-B,
